study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB21776	SAMEA104726383	ERX3687234	ERR3697694	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697694/ERR3697694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/004/ERR3697694/ERR3697694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697694/43_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697694/43_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/004/ERR3697694
PRJEB21776	SAMEA104726384	ERX3687235	ERR3697695	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697695/ERR3697695_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/005/ERR3697695/ERR3697695_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697695/44_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697695/44_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/005/ERR3697695
PRJEB21776	SAMEA104726385	ERX3687236	ERR3697696	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697696/ERR3697696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/006/ERR3697696/ERR3697696_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697696/45_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697696/45_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/006/ERR3697696
PRJEB21776	SAMEA104726386	ERX3687237	ERR3697697	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697697/ERR3697697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/007/ERR3697697/ERR3697697_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697697/46_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697697/46_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/007/ERR3697697
PRJEB21776	SAMEA104726387	ERX3687238	ERR3697698	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/008/ERR3697698/ERR3697698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/008/ERR3697698/ERR3697698_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697698/47_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697698/47_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/008/ERR3697698
PRJEB21776	SAMEA104726388	ERX3687239	ERR3697699	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/009/ERR3697699/ERR3697699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/009/ERR3697699/ERR3697699_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697699/48_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697699/48_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/009/ERR3697699
PRJEB21776	SAMEA104726389	ERX3687240	ERR3697700	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697700/ERR3697700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/000/ERR3697700/ERR3697700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697700/49_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697700/49_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/000/ERR3697700
PRJEB21776	SAMEA104726390	ERX3687241	ERR3697701	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697701/ERR3697701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/001/ERR3697701/ERR3697701_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697701/50_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697701/50_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/001/ERR3697701
PRJEB21776	SAMEA104726391	ERX3687242	ERR3697702	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697702/ERR3697702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/002/ERR3697702/ERR3697702_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697702/51_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697702/51_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/002/ERR3697702
PRJEB21776	SAMEA104726392	ERX3687243	ERR3697703	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697703/ERR3697703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR369/003/ERR3697703/ERR3697703_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697703/52_1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR369/ERR3697703/52_2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR369/003/ERR3697703
